"ptt","year","dep_brgr","dep_UK","dep_euna_sb","fin_sah_sb","arr_wgr_a","arr_wgr_b","dep_wgr_b","dep_wgr_a","dep_wa_a","dep_wa_b","dep_wa","fin_sah_nb","arr_UK","arr_brgr","br_hab","mig_dir","dep_brgr_TS","min_lat_stopover","any_so_s_europe_sbound","lat_last_euro_so_sbound","last_wa_fix_long","last_wa_fix_lat","last_wa_sos_long","last_wa_sos_lat","br_lat","br_long","first_fix_TS","dep_UK_TS","fin_sah_sb_TS","arr_wgr_a_TS","arr_wgr_b_TS","dep_wgr_b_TS","min_lat_stopover_id","dep_wgr_a_TS","dep_wgr_a_TS_ford1plot","dep_wa_TS","arr_UK_TS","arr_brgr_TS","last_fix_TS","region","mig_dir_3cat","outcome","last_milestone_pre_death","died_this_cycle","season_died","died_after_ms2","age_at_ring","known_age","known_age_binary","cycles_since_tagging_4s","cycles_since_tagging"
"146759",2017,169,169,229,NA,311,315,NA,NA,NA,478,476,481,493,493,"Upland","SE","2017-06-18 17:59:00",-7.08249,TRUE,51.42025,-2.26439,12.13266,-3.773735,7.298,54.0175640425532,-2.45155181476846,"2015-06-04 07:56:08","2017-06-19 17:59:00","2017-08-30 08:37:59","2017-11-09 03:47:33","2017-11-11 15:12:27","2018-02-25 08:31:56",905,"2018-03-16 06:20:46","2018-03-04 05:39:16","2018-04-21 07:24:23","2018-05-08 05:25:51","2018-05-08 05:25:51","2019-07-12 08:22:37","Forest of Bowland","SE",NA,NA,FALSE,NA,FALSE,4,NA,1,2,2
"146759",2018,173,173,NA,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2018-06-22 03:05:34",-7.19523,TRUE,44.666425,-9.74998,9.27586,-9.70408,9.261645,54.0175640425532,-2.45155181476846,"2015-06-04 07:56:08","2018-06-23 03:05:34","2018-07-31 05:16:31","2018-10-22 05:45:10","2018-12-04 06:12:38","2019-01-30 16:38:21",916,"2019-03-14 22:41:34","2019-02-21 07:12:41","2019-03-22 10:29:24","2019-04-28 11:28:39","2019-04-28 11:28:39","2019-07-12 08:22:37","Forest of Bowland","SE",NA,NA,FALSE,NA,FALSE,4,NA,1,3,3
"146759",2019,175,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2019-06-24 12:31:26",NA,NA,NA,NA,NA,NA,NA,54.0175640425532,-2.45155181476846,"2015-06-04 07:56:08","2019-06-27 21:32:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-07-12 08:22:37","Forest of Bowland","SE","M","dep_UK",TRUE,"Autumn",TRUE,4,NA,1,4,4
"146760",2015,173,173,NA,237,NA,338,350,NA,436,NA,470,476,494,494,"Upland","SE","2015-06-22 05:58:08",-3.08741,TRUE,45.51241,15.22705,4.98982,15.38168,4.30705,52.3280921538462,-3.86068584615385,"2015-06-12 17:51:40","2015-06-23 05:58:08","2015-08-25 01:47:26","2015-11-11 08:57:55","2015-12-04 07:43:19","2015-12-18 04:11:03",926,"2016-03-04 13:45:11","2016-01-13 00:35:02","2016-03-13 20:07:46","2016-05-08 21:47:59","2016-05-08 21:47:59","2016-06-22 20:12:58","Wales","SE",NA,NA,FALSE,NA,FALSE,5,1,0,NA,0
"146760",2016,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2016-06-14 07:28:59",NA,FALSE,48.45313,NA,NA,NA,NA,52.3280921538462,-3.86068584615385,"2015-06-12 17:51:40","2016-06-17 11:37:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-06-22 20:12:58","Wales","SE","M","dep_UK",TRUE,"Autumn",TRUE,5,2,1,NA,1
"146761",2015,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SE","2015-06-16 14:23:41",NA,TRUE,38.33669,NA,NA,NA,NA,53.1622166791045,-1.05461458955224,"2015-05-26 05:08:50","2015-06-17 14:23:41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-09-14 20:04:27","Sherwood Forest","SE","M","dep_UK",TRUE,"Autumn",TRUE,4,NA,NA,0,0
"161318",2016,183,183,206,211,288,307,332,391,NA,NA,462,468,485,485,"Lowland","SE","2016-07-01 17:45:41",-9.938,FALSE,48.98165,-5.49147,7.182,-5.776,7.46843,52.3660384176878,0.652933100692595,"2016-06-07 07:25:44","2016-07-02 17:45:41","2016-07-29 18:48:47","2016-10-15 20:36:54","2016-11-02 20:09:44","2017-01-08 16:30:36",944,"2017-01-26 17:43:55","2017-01-24 05:33:05","2017-04-03 06:35:56","2017-04-29 08:08:40","2017-04-29 08:08:40","2022-05-06 22:07:51","Thetford Forest","C",NA,NA,FALSE,NA,FALSE,5,1,0,NA,0
"161318",2017,174,174,192,200,NA,323,358,NA,NA,NA,NA,463,472,472,"Lowland","SE","2017-06-23 18:51:07",-7.965475,FALSE,49.03784,-5.3853,7.21363,-5.41189,7.22425,52.3660384176878,0.652933100692595,"2016-06-07 07:25:44","2017-06-24 18:51:07","2017-07-19 13:53:35","2017-10-14 06:23:11","2017-11-19 05:44:53","2017-10-14 06:23:11",960,"2018-01-22 16:11:21","2018-01-04 17:48:27","2018-03-28 04:36:27","2018-04-17 08:19:09","2018-04-17 08:19:09","2022-05-06 22:07:51","Thetford Forest","C",NA,NA,FALSE,NA,FALSE,5,2,1,NA,1
"161318",2018,174,174,210,218,324,338,390,NA,467,470,469,473,480,480,"Lowland","SW","2018-06-23 19:46:47",-7.89474,TRUE,41.63732,-5.9416,11.93586,-5.39424,7.0793,52.3660384176878,0.652933100692595,"2016-06-07 07:25:44","2018-06-24 19:46:47","2018-08-06 09:12:54","2018-11-21 06:23:31","2018-12-04 20:30:42","2019-01-27 04:30:27",978,"2019-02-07 09:20:18","2019-01-29 15:15:10","2019-04-14 06:17:34","2019-04-25 17:10:24","2019-04-25 17:10:24","2022-05-06 22:07:51","Thetford Forest","SW",NA,NA,FALSE,NA,FALSE,5,3,1,NA,2
"161318",2019,163,182,206,212,302,321,332,NA,NA,NA,463,472,480,482,"Lowland","SW","2019-06-12 07:41:42",-9.92099,TRUE,41.97307,-5.36101,7.01355,-5.3631,7.01468,52.3660384176878,0.652933100692595,"2016-06-07 07:25:44","2019-07-02 06:23:05","2019-07-31 03:43:16","2019-10-30 15:42:42","2019-11-17 08:07:09","2019-11-01 20:34:49",992,"2020-01-14 04:52:31","2019-12-31 18:38:17","2020-04-03 04:57:45","2020-04-24 19:39:08","2020-04-26 21:15:38","2022-05-06 22:07:51","Thetford Forest","SW",NA,NA,FALSE,NA,FALSE,5,4,1,NA,3
"161318",2020,185,185,234,238,313,326,337,402,NA,NA,465,470,477,479,"Lowland","SE","2020-07-03 16:09:19",-8.4418,TRUE,44.347755,-3.98111,7.5611,-3.99528,7.5611,52.3660384176878,0.652933100692595,"2016-06-07 07:25:44","2020-07-04 16:09:19","2020-08-25 17:33:19","2020-11-09 20:51:06","2020-11-21 06:50:10","2020-11-09 20:51:06",1014,"2021-02-06 21:45:56","2021-02-02 09:45:35","2021-04-05 17:26:04","2021-04-21 19:41:01","2021-04-23 18:40:27","2022-05-06 22:07:51","Thetford Forest","SE",NA,NA,FALSE,NA,FALSE,5,5,1,NA,4
"161318",2021,188,191,211,219,297,314,NA,421,456,458,457,461,479,479,"Lowland","SW","2021-07-07 22:50:59",-0.9158,TRUE,42.902885,-8.11129,17.1322,-5.167845,7.137095,52.3660384176878,0.652933100692595,"2016-06-07 07:25:44","2021-07-11 09:59:41","2021-08-07 04:49:50","2021-10-28 09:39:38","2021-11-10 19:06:07","2022-02-18 18:40:37",1029,"2022-02-26 16:17:12","2022-02-23 05:15:54","2022-04-02 09:02:53","2022-04-24 09:47:34","2022-04-24 09:47:34","2022-05-06 22:07:51","Thetford Forest","SW","UA","arr_brgr",TRUE,"Spring",FALSE,5,6,1,NA,5
"161319",2016,169,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2016-06-17 20:09:48",NA,TRUE,46.72534,NA,NA,NA,NA,50.6572146376812,-3.73546623188406,"2016-06-08 07:59:24","2016-06-18 20:09:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-08-15 04:45:02","Dartmoor","SE","UA","dep_UK",TRUE,"Autumn",TRUE,5,1,0,NA,0
"161320",2016,191,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SE","2016-07-09 10:21:52",NA,TRUE,38.32654,NA,NA,NA,NA,50.9351100904977,-1.49964285067873,"2016-06-10 09:48:11","2016-07-10 10:21:52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-10-06 17:39:18","New Forest","SE","M","dep_UK",TRUE,"Autumn",TRUE,4,NA,NA,0,0
"161321",2016,168,170,187,193,278,328,339,393,447,449,447,452,470,470,"Lowland","SW","2016-06-16 18:53:54",-2.55289,TRUE,41.111735,-7.65412,9.03671,-7.652705,9.03678,50.8335505947955,-1.49882750929368,"2016-06-10 10:40:46","2016-06-19 04:37:55","2016-07-11 14:30:52","2016-10-05 21:31:41","2016-11-23 08:38:21","2016-12-11 02:49:45",1055,"2017-01-28 05:56:37","2017-01-23 18:57:38","2017-03-20 17:57:22","2017-04-14 04:18:25","2017-04-14 04:18:25","2019-04-01 18:43:50","New Forest","SW",NA,NA,FALSE,NA,FALSE,4,NA,NA,0,0
"161321",2017,166,166,202,209,285,357,361,NA,445,449,447,453,469,469,"Lowland","SW","2017-06-15 10:12:46",-2.482225,TRUE,40.99487,-7.85482,16.85631,-7.47964,9.10741,50.8335505947955,-1.49882750929368,"2016-06-10 10:40:46","2017-06-16 10:12:46","2017-07-28 21:08:44","2017-10-13 21:15:19","2017-12-23 05:32:03","2018-01-27 05:59:00",1070,"2018-02-07 06:59:32","2018-01-29 09:38:38","2018-03-23 03:56:48","2018-04-14 06:58:04","2018-04-14 06:58:04","2019-04-01 18:43:50","New Forest","SW",NA,NA,FALSE,NA,FALSE,4,NA,1,1,1
"161321",2018,172,172,193,198,292,306,NA,NA,NA,NA,454,NA,NA,NA,"Lowland","SW","2018-06-21 16:12:08",-0.35382,TRUE,40.38387,-8.30818,8.51245,-8.30083,8.51979,50.8335505947955,-1.49882750929368,"2016-06-10 10:40:46","2018-06-22 16:12:08","2018-07-17 22:18:59","2018-10-20 17:30:54","2018-11-02 18:43:09","2018-10-22 20:29:09",1091,"2019-01-29 20:11:26","2019-01-16 07:59:13","2019-03-25 08:01:05",NA,NA,"2019-04-01 18:43:50","New Forest","SW","M","dep_wa",TRUE,"Spring",FALSE,4,NA,1,2,2
"161322",2016,179,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2016-06-27 08:01:50",NA,TRUE,40.690505,NA,NA,NA,NA,52.573356369863,1.51429719178082,"2016-06-11 08:15:54","2016-06-28 08:01:50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-08-06 09:26:07","Norfolk Broads","SW","UA","dep_UK",TRUE,"Autumn",TRUE,NA,NA,NA,NA,0
"161323",2016,156,158,212,218,299,322,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2016-06-04 09:17:30",-7.116245,TRUE,37.25636,-3.65945,7.71881,-3.71585,7.821195,53.1533076923077,-1.08346153846154,"2016-06-03 06:30:03","2016-06-07 21:23:31","2016-08-05 05:40:18","2016-10-27 01:21:50","2016-11-17 19:58:54","2016-10-29 08:55:15",1108,"2017-02-27 16:05:01","2017-02-14 18:39:11","2017-04-05 06:16:36",NA,NA,"2017-04-05 06:16:36","Sherwood Forest","SW","M","dep_wgr_a",TRUE,"Spring",FALSE,5,1,0,NA,0
"161324",2016,176,176,204,209,286,302,354,417,476,NA,474,483,491,491,"Lowland","SW","2016-06-24 04:33:41",-8.02573,TRUE,40.101835,-2.00139,6.8162,-1.992695,6.8281,52.3339446867749,0.688979605568446,"2016-06-10 07:09:48","2016-06-25 04:33:41","2016-07-27 17:09:21","2016-10-13 05:26:42","2016-10-28 13:53:57","2016-10-13 05:26:42",1120,"2017-02-21 17:19:46","2017-02-19 08:12:40","2017-04-18 08:15:11","2017-05-05 20:12:00","2017-05-05 20:12:00","2019-04-10 17:26:48","Thetford Forest","SW",NA,NA,FALSE,NA,FALSE,5,1,0,NA,0
"161324",2017,154,154,196,204,239,333,NA,NA,465,466,464,470,475,475,"Lowland","SW","2017-06-03 19:52:52",-1.87984,TRUE,40.20709,-3.23109,7.23689,-3.23026,7.23689,52.3339446867749,0.688979605568446,"2016-06-10 07:09:48","2017-06-04 19:52:52","2017-07-23 06:51:19","2017-08-28 20:26:23","2017-11-29 07:07:41","2017-08-28 20:26:23",1135,"2018-02-14 13:51:29","2018-02-01 17:30:50","2018-04-09 05:53:58","2018-04-20 11:06:42","2018-04-20 11:06:42","2019-04-10 17:26:48","Thetford Forest","SW",NA,NA,FALSE,NA,FALSE,5,2,1,NA,1
"161324",2018,165,165,185,192,273,287,379,380,NA,NA,463,NA,NA,NA,"Lowland","SW","2018-06-14 18:29:11",-0.413815,TRUE,46.71342,-4.19873,16.60669,-2.935825,7.058945,52.3339446867749,0.688979605568446,"2016-06-10 07:09:48","2018-06-15 18:29:11","2018-07-11 21:00:19","2018-10-03 14:36:19","2018-10-14 04:09:38","2018-10-03 14:36:19",1148,"2019-01-16 16:09:28","2019-01-12 07:59:54","2019-04-08 11:18:56",NA,NA,"2019-04-10 17:26:48","Thetford Forest","SW","M","dep_wa",TRUE,"Spring",FALSE,5,3,1,NA,2
"161325",2016,190,190,235,240,292,339,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland",NA,"2016-07-08 19:39:56",-6.65675,TRUE,44.20786,NA,NA,NA,NA,52.3556503125,0.643725803571429,"2016-06-10 06:05:09","2016-07-09 19:39:56","2016-08-27 08:52:44","2016-10-19 04:23:07","2016-12-04 17:23:54","2016-10-23 17:14:46",1160,NA,"2016-12-22 04:39:51",NA,NA,NA,"2016-12-22 04:39:51","Thetford Forest","C","M","arr_wgr_b",TRUE,"Autumn",FALSE,5,1,0,NA,0
"179106",2019,180,180,207,213,NA,NA,NA,473,NA,NA,NA,474,NA,NA,"Lowland","SW","2019-06-29 18:38:00",NA,TRUE,40.69966,NA,NA,NA,NA,52.3482808888889,0.831305481481482,"2019-06-05 17:37:02","2019-06-30 18:38:00","2019-08-01 18:41:23","2020-02-20 07:54:18",NA,NA,NA,"2020-04-18 08:14:44","2020-02-20 07:54:18",NA,NA,NA,"2020-05-03 04:29:53","Thetford Forest","SW","M","dep_wa",TRUE,"Spring",FALSE,4,NA,NA,0,0
"179107",2019,172,175,191,201,335,343,NA,NA,NA,NA,NA,NA,488,488,"Lowland","SW","2019-06-21 10:35:48",-7.90723,FALSE,48.34963,-4.43431,7.24073,-4.430885,7.248885,52.391519034749,0.738209073359073,"2019-06-05 19:05:40","2019-06-25 20:54:19","2019-07-20 05:49:20","2019-12-05 08:58:01","2019-12-09 19:28:58","2020-03-01 20:19:18",1174,"2020-04-03 18:37:40","2020-03-23 18:14:59","2020-04-12 10:47:12","2020-05-02 08:35:46","2020-05-02 08:35:46","2021-01-31 16:33:40","Thetford Forest","SW",NA,NA,FALSE,NA,FALSE,4,NA,NA,0,0
"179107",2020,184,184,208,216,291,325,345,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2020-07-02 07:37:17",-8.3859,TRUE,43.87148,NA,NA,NA,NA,52.391519034749,0.738209073359073,"2019-06-05 19:05:40","2020-07-03 07:37:17","2020-08-03 05:37:33","2020-10-18 16:10:06","2020-11-20 17:14:50","2020-10-27 09:00:26",1186,NA,"2021-01-31 16:33:40",NA,NA,NA,"2021-01-31 16:33:40","Thetford Forest","SW","M","dep_wgr_b",TRUE,"Spring",FALSE,4,NA,1,1,1
"179108",2019,170,172,194,202,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2019-06-19 22:19:36",0.330015,TRUE,44.898575,-7.8928,8.56522,NA,NA,52.5011503323263,0.593907462235649,"2019-05-13 19:29:33","2019-06-22 10:15:30","2019-07-21 19:51:53","2019-09-20 07:43:17","2020-01-23 21:09:15","2019-09-20 07:43:17",1195,"2020-03-08 20:08:19","2020-02-19 19:07:12","2020-04-06 22:19:49",NA,NA,"2020-04-06 22:19:49","Thetford Forest","C","UB","dep_wgr_a",TRUE,"Spring",FALSE,4,NA,NA,0,0
"179109",2019,161,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2019-06-10 10:43:16",NA,TRUE,39.261215,NA,NA,NA,NA,50.889943125,-1.65999625,"2019-05-31 11:48:22","2019-06-11 10:43:16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-08-09 10:22:28","New Forest","SW","M","dep_UK",TRUE,"Autumn",TRUE,4,NA,NA,0,0
"213803",2021,163,164,184,194,255,291,300,395,450,NA,448,455,473,473,"Upland","SE","2021-06-12 21:00:41",-0.5292,FALSE,53.22187,-10.04613,9.54877,-10.046345,9.54888,56.2623439622642,-4.58898377358491,"2021-05-18 05:14:30","2021-06-14 20:39:38","2021-07-13 18:51:38","2021-09-14 08:14:13","2021-10-18 06:01:27","2022-01-22 08:22:33",1205,"2022-01-31 10:13:17","2022-01-28 21:27:02","2022-03-24 06:54:25","2022-04-18 12:34:35","2022-04-18 12:34:35","2022-11-12 06:39:01","Trossachs",NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,0
"213803",2022,173,176,194,206,269,295,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2022-06-22 17:54:05",-0.4543,FALSE,53.27915,NA,NA,NA,NA,56.2623439622642,-4.58898377358491,"2021-05-18 05:14:30","2022-06-26 04:13:35","2022-07-25 20:53:14","2022-09-30 06:50:10","2022-10-22 18:07:54","2022-09-30 06:50:10",1220,NA,"2022-11-12 06:39:01",NA,NA,NA,"2022-11-12 06:39:01","Trossachs",NA,NA,NA,FALSE,NA,FALSE,NA,NA,1,NA,1
"213804",2021,163,165,208,211,297,309,356,NA,467,NA,468,472,486,488,"Upland","SE","2021-06-12 06:38:05",-2.15154,TRUE,43.20464,-6.63296,16.68213,-4.796715,6.738085,56.27225525,-4.561543,"2021-05-19 19:13:11","2021-06-15 19:58:15","2021-07-30 08:05:53","2021-10-25 15:52:49","2021-11-05 19:06:39","2022-01-27 10:02:46",1229,"2022-03-13 09:54:42","2022-03-06 09:36:24","2022-04-13 06:32:34","2022-05-01 05:42:00","2022-05-03 18:57:03","2022-11-15 08:58:15","Trossachs",NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,0
"213804",2022,166,168,215,219,302,314,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2022-06-15 11:28:55",-0.93558,FALSE,47.08035,NA,NA,NA,NA,56.27225525,-4.561543,"2021-05-19 19:13:11","2022-06-18 09:07:37","2022-08-07 18:39:35","2022-10-30 16:39:10","2022-11-10 19:49:44","2022-11-01 21:14:45",1244,NA,"2022-11-15 08:58:15",NA,NA,NA,"2022-11-15 08:58:15","Trossachs",NA,NA,NA,FALSE,NA,FALSE,NA,NA,1,NA,1
"213805",2021,168,174,201,211,279,306,311,NA,462,463,461,465,484,484,"Upland","SW","2021-06-17 21:25:16",-0.27786,FALSE,48.58366,-4.26492,7.36533,-4.26923,7.36508,53.0290943137255,-3.15831215686275,"2021-06-01 21:24:40","2021-06-24 19:41:25","2021-07-30 09:00:08","2021-10-07 19:07:14","2021-11-02 06:32:35","2022-01-13 21:08:56",1252,"2022-03-06 08:31:56","2022-01-20 21:16:49","2022-04-05 18:10:50","2022-04-29 10:15:19","2022-04-29 10:15:19","2022-11-14 07:57:21","Wales",NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,0
"213805",2022,168,174,192,199,277,297,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SW","2022-06-17 18:24:55",-1.82552,FALSE,48.47363,NA,NA,NA,NA,53.0290943137255,-3.15831215686275,"2021-06-01 21:24:40","2022-06-24 09:14:39","2022-07-18 19:15:51","2022-10-07 16:57:24","2022-10-24 08:33:31","2022-10-07 16:57:24",1268,NA,"2022-11-14 07:57:21",NA,NA,NA,"2022-11-14 07:57:21","Wales",NA,NA,NA,FALSE,NA,FALSE,NA,NA,1,NA,1
"213806",2021,163,163,192,200,244,340,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2021-06-12 19:32:44",-9.63584,FALSE,48.83086,NA,NA,NA,NA,53.2100578571429,-1.1058,"2021-05-27 21:58:11","2021-06-13 07:44:08","2021-07-19 18:27:42","2021-09-01 16:40:45","2021-12-06 18:00:31","2021-09-05 18:32:08",1278,NA,"2022-01-09 18:45:53",NA,NA,NA,"2022-01-09 18:45:53","Sherwood Forest",NA,"UB","dep_wgr_b",TRUE,"Spring",FALSE,NA,NA,NA,NA,0
"213807",2021,174,174,195,201,313,316,379,NA,NA,NA,466,472,488,489,"Lowland","SE","2021-06-23 07:17:26",-1.09043,TRUE,43.49331,-4.08332,7.77657,-4.07449,7.774285,52.2519414285714,-2.18820714285714,"2021-05-19 21:46:10","2021-06-24 07:17:26","2021-07-20 05:41:23","2021-11-10 18:04:55","2021-11-12 21:36:30","2022-01-16 09:30:08",1284,"2022-03-04 09:15:53","2022-02-25 19:03:27","2022-04-07 08:06:05","2022-05-03 09:37:51","2022-05-04 19:35:40","2022-07-26 08:00:01","Worcestershire",NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,0
"213807",2022,182,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SE","2022-07-01 20:30:32",NA,TRUE,45.70867,NA,NA,NA,NA,52.2519414285714,-2.18820714285714,"2021-05-19 21:46:10","2022-07-03 18:31:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-26 08:00:01","Worcestershire",NA,"M","dep_UK",TRUE,"Autumn",TRUE,NA,NA,1,NA,1
"213808",2021,198,198,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2021-07-17 05:14:55",NA,TRUE,43.29427,NA,NA,NA,NA,52.0145212820513,-2.17747974358974,"2021-05-20 10:03:42","2021-07-18 05:14:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-30 23:02:05","Worcestershire",NA,"M","dep_UK",TRUE,"Autumn",FALSE,NA,NA,NA,NA,0
"213810",2021,180,180,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland",NA,"2021-06-29 19:53:36",NA,TRUE,37.94879,NA,NA,NA,NA,52.5254953846154,0.613355384615385,"2021-05-27 20:16:05","2021-06-30 19:53:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-11 08:09:06","Thetford Forest",NA,"M","dep_UK",TRUE,"Autumn",FALSE,NA,NA,NA,NA,0
"232669",2022,185,185,227,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2022-07-04 19:00:51",NA,TRUE,42.90694,NA,NA,NA,NA,52.0576610810811,-2.12013027027027,"2022-05-17 10:07:07","2022-07-05 19:00:51","2022-08-21 20:52:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-10-19 17:40:37","Worcestershire",NA,"M","fin_sah_sb",TRUE,"Autumn",FALSE,NA,NA,NA,NA,0
"232670",2022,163,163,184,189,262,275,290,NA,NA,NA,NA,NA,NA,NA,"Lowland","SE","2022-06-12 19:47:01",-2.11123,TRUE,43.36479,NA,NA,NA,NA,52.5066529411765,0.623443529411765,"2022-05-20 09:07:54","2022-06-13 19:06:24","2022-07-08 21:13:23","2022-09-20 18:06:02","2022-10-02 16:13:55","2022-09-27 18:38:46",1320,NA,"2022-11-14 09:14:56",NA,NA,NA,"2022-11-14 09:14:56","Thetford Forest",NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,0
"232671",2022,168,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2022-06-17 20:55:20",NA,TRUE,42.15877,NA,NA,NA,NA,52.5313839130435,0.614443043478261,"2022-05-20 07:28:16","2022-06-18 18:17:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-24 21:19:03","Thetford Forest",NA,"UA","dep_UK",TRUE,"Autumn",TRUE,NA,NA,NA,NA,0
"232672",2022,165,165,182,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2022-06-14 19:33:17",NA,TRUE,44.460185,NA,NA,NA,NA,50.890248,-1.6342,"2022-05-31 06:40:48","2022-06-15 19:33:17","2022-07-09 10:19:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-08-17 07:05:13","New Forest",NA,"M","fin_sah_sb",TRUE,"Autumn",FALSE,NA,NA,NA,NA,0
"232673",2022,166,166,183,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2022-06-15 11:29:47",NA,FALSE,48.237,NA,NA,NA,NA,50.9693875,-0.3849075,"2022-05-28 06:35:52","2022-06-16 11:29:47","2022-07-14 07:01:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-26 20:23:24","South Downs",NA,"UA","fin_sah_sb",TRUE,"Autumn",FALSE,NA,NA,NA,NA,0
"232674",2022,184,184,NA,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2022-07-03 08:28:42",-0.428575,NA,NA,NA,NA,NA,NA,52.2393539130435,-2.26191391304348,"2022-05-17 21:34:41","2022-07-04 08:28:42","2022-07-12 23:36:32","2022-10-06 10:20:04","2022-10-06 10:20:04","2022-10-06 10:20:04",1338,NA,"2022-10-29 21:48:57",NA,NA,NA,"2022-10-29 21:48:57","Worcestershire",NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,0
"232745",2022,151,151,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2022-05-31 21:21:00",NA,FALSE,48.71721,NA,NA,NA,NA,50.98577,-0.36346,"2022-05-28 05:37:37","2022-06-01 21:21:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-30 21:47:01","South Downs",NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,0
"500422",2022,178,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2022-06-27 19:59:12",NA,TRUE,45.23857,NA,NA,NA,NA,52.7747533333333,-3.53812222222222,"2021-12-09 08:33:52","2022-07-01 11:11:14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-08-07 08:55:52","Wales",NA,"M","dep_UK",TRUE,"Autumn",TRUE,NA,NA,NA,NA,0
